,age,education,employment_status,fam_income,hh_income,hours_worked,labor_status,married,numfamily,personal_income,race,school_status,sex,state,wage_income,education_hs,education_college,state_nh,sex_male,school_status_attending,race_white,labor_status_working,personal_income_none,hh_income_cleaned,personal_income_cleaned,fam_income_cleaned,married_now,wage_income_cleaned
0,56,73,10,106636,106636,40,2,1,2,38569,100,0,1,33,36000,1,0,1,1,0,1,1,0,106636,38569,106636,1,36000
1,53,73,10,106636,106636,53,2,1,2,68067,100,5,2,33,68000,1,0,1,0,0,1,1,0,106636,68067,106636,1,68000
2,59,81,10,85135,85135,39,2,1,3,45853,100,0,1,33,20071,1,0,1,1,0,1,1,0,85135,45853,85135,1,20071
3,53,111,10,85135,85135,36,2,1,3,39282,100,5,2,33,13500,1,1,1,0,0,1,1,0,85135,39282,85135,1,13500
4,14,1,0,85135,85135,999,0,6,3,99999999,100,0,2,33,9999999,0,0,1,0,0,1,0,1,85135,0,85135,0,9999999
5,55,91,34,7,7,999,1,6,1,7,802,0,1,33,0,1,0,1,1,0,0,0,0,7,7,7,0,0
6,61,91,12,68696,68696,999,2,1,2,45020,100,0,1,33,0,1,0,1,1,0,1,1,0,68696,45020,68696,1,0
7,63,73,10,68696,68696,12,2,1,2,23676,100,0,2,33,15000,1,0,1,0,0,1,1,0,68696,23676,68696,1,15000
8,43,81,12,48054,48054,999,2,1,2,8027,100,5,2,33,0,1,0,1,0,0,1,1,0,48054,8027,48054,1,0
9,40,73,10,48054,48054,42,2,1,2,40027,100,5,1,33,40000,1,0,1,1,0,1,1,0,48054,40027,48054,1,40000
10,52,111,10,140831,140831,32,2,1,4,56005,100,5,2,33,56000,1,1,1,0,0,1,1,0,140831,56005,140831,1,56000
11,53,81,10,140831,140831,40,2,1,4,65844,100,5,1,33,65000,1,0,1,1,0,1,1,0,140831,65844,140831,1,65000
12,19,81,34,140831,140831,999,1,6,4,18480,100,3,1,33,18480,1,0,1,1,1,1,0,0,140831,18480,140831,0,18480
13,15,30,34,140831,140831,999,1,6,4,502,100,0,2,33,500,0,0,1,0,0,1,0,0,140831,502,140831,0,500
14,65,92,36,43228,43228,999,1,1,2,12388,100,0,2,33,0,1,0,1,0,0,1,0,0,43228,12388,43228,1,0
15,74,91,36,43228,43228,999,1,1,2,30840,300,0,1,33,0,1,0,1,1,0,0,0,0,43228,30840,43228,1,0
16,21,73,10,10300,10300,35,2,6,1,10300,100,5,1,33,10000,1,0,1,1,0,1,1,0,10300,10300,10300,0,10000
17,21,73,10,0,10300,60,2,6,1,0,100,5,2,33,0,1,0,1,0,0,1,1,1,10300,0,0,0,0
18,69,73,36,8988,8988,999,1,4,1,8988,802,0,1,33,0,1,0,1,1,0,0,0,0,8988,8988,8988,0,0
19,51,81,10,23282,56562,45,2,4,1,23282,100,5,2,33,22342,1,0,1,0,0,1,1,0,56562,23282,23282,0,22342
20,45,73,10,33280,56562,20,2,6,1,33280,100,5,1,33,33280,1,0,1,1,0,1,1,0,56562,33280,33280,0,33280
21,48,81,12,64029,103029,999,2,6,1,64029,100,5,1,33,64000,1,0,1,1,0,1,1,0,103029,64029,64029,0,64000
22,46,81,10,39000,103029,60,2,4,1,39000,100,5,1,33,39000,1,0,1,1,0,1,1,0,103029,39000,39000,0,39000
23,53,81,10,20000,101000,35,2,4,1,20000,100,5,1,33,3000,1,0,1,1,0,1,1,0,101000,20000,20000,0,3000
24,46,73,10,81000,101000,40,2,4,1,81000,100,5,2,33,81000,1,0,1,0,0,1,1,0,101000,81000,81000,0,81000
25,73,81,10,121870,121870,44,2,4,3,104403,100,0,2,33,85000,1,0,1,0,0,1,1,0,121870,104403,121870,0,85000
26,23,81,10,121870,121870,8,2,6,3,14467,100,5,2,33,9467,1,0,1,0,0,1,1,0,121870,14467,121870,0,9467
27,15,40,10,121870,121870,12,2,6,3,3000,100,0,1,33,3000,0,0,1,1,0,1,1,0,121870,3000,121870,0,3000
28,67,81,32,87747,87747,999,1,1,2,66800,100,0,1,33,0,1,0,1,1,0,1,0,0,87747,66800,87747,1,0
29,64,81,32,87747,87747,999,1,1,2,20947,100,0,2,33,0,1,0,1,0,0,1,0,0,87747,20947,87747,1,0
30,42,73,10,61704,116075,50,2,6,1,61704,100,5,1,33,60000,1,0,1,1,0,1,1,0,116075,61704,61704,0,60000
31,44,111,10,54371,116075,30,2,6,1,54371,100,5,2,33,45000,1,1,1,0,0,1,1,0,116075,54371,54371,0,45000
32,46,73,10,60270,60270,40,2,1,4,37591,100,5,1,33,32000,1,0,1,1,0,1,1,0,60270,37591,60270,1,32000
33,45,81,10,60270,60270,40,2,1,4,22679,100,5,2,33,25000,1,0,1,0,0,1,1,0,60270,22679,60270,1,25000
34,16,50,34,60270,60270,999,1,6,4,0,100,1,1,33,0,0,0,1,1,1,1,0,1,60270,0,60270,0,0
35,12,1,0,60270,60270,999,0,6,4,99999999,100,0,1,33,9999999,0,0,1,1,0,1,0,1,60270,0,60270,0,9999999
36,69,91,10,47092,47092,6,2,5,1,47092,100,0,2,33,2950,1,0,1,0,0,1,1,0,47092,47092,47092,0,2950
37,49,81,10,36470,36470,38,2,4,1,36470,100,5,2,33,32000,1,0,1,0,0,1,1,0,36470,36470,36470,0,32000
38,36,73,10,84136,84136,44,2,1,2,43506,100,5,1,33,43500,1,0,1,1,0,1,1,0,84136,43506,84136,1,43500
39,41,73,10,84136,84136,40,2,1,2,40630,100,5,2,33,0,1,0,1,0,0,1,1,0,84136,40630,84136,1,0
40,14,1,0,0,84136,999,0,6,1,99999999,100,0,1,33,9999999,0,0,1,1,0,1,0,1,84136,0,0,0,9999999
41,26,92,12,30024,30024,999,2,6,1,30024,100,5,1,33,0,1,0,1,1,0,1,1,0,30024,30024,30024,0,0
42,55,50,12,20000,20000,999,2,6,1,20000,100,0,1,33,20000,0,0,1,1,0,1,1,0,20000,20000,20000,0,20000
43,47,73,32,13800,13800,999,1,6,1,13800,100,5,1,33,0,1,0,1,1,0,1,0,0,13800,13800,13800,0,0
44,60,111,34,38700,69701,999,1,3,1,38700,100,0,2,33,0,1,1,1,0,0,1,0,0,69701,38700,38700,0,0
45,52,73,34,18001,69701,999,1,4,2,18001,100,5,1,33,18000,1,0,1,1,0,1,0,0,69701,18001,18001,0,18000
46,27,92,34,13000,69701,999,1,6,1,13000,100,5,1,33,0,1,0,1,1,0,1,0,0,69701,13000,13000,0,0
47,27,111,34,0,69701,999,1,6,1,0,100,5,2,33,0,1,1,1,0,0,1,0,1,69701,0,0,0,0
48,2,1,0,0,69701,999,0,6,2,99999999,100,0,1,33,9999999,0,0,1,1,0,1,0,1,69701,0,0,0,9999999
49,48,73,32,13228,13228,999,1,6,1,13228,100,5,2,33,0,1,0,1,0,0,1,0,0,13228,13228,13228,0,0
50,60,81,10,24025,24025,10,2,4,1,24025,100,0,2,33,24000,1,0,1,0,0,1,1,0,24025,24025,24025,0,24000
51,80,81,36,7259,21839,999,1,6,1,7259,100,0,1,33,0,1,0,1,1,0,1,0,0,21839,7259,7259,0,0
52,85,73,36,14580,21839,999,1,5,1,14580,100,0,2,33,0,1,0,1,0,0,1,0,0,21839,14580,14580,0,0
53,69,81,36,51280,51280,999,1,1,2,28658,100,0,1,33,0,1,0,1,1,0,1,0,0,51280,28658,51280,1,0
54,69,92,36,51280,51280,999,1,1,2,22622,100,0,2,33,0,1,0,1,0,0,1,0,0,51280,22622,51280,1,0
55,68,81,10,60500,60500,52,2,1,2,41652,100,0,1,33,15000,1,0,1,1,0,1,1,0,60500,41652,60500,1,15000
56,68,81,10,60500,60500,18,2,1,2,18848,100,0,2,33,5400,1,0,1,0,0,1,1,0,60500,18848,60500,1,5400
57,54,81,10,102015,182015,56,2,1,2,80015,100,5,1,33,45000,1,0,1,1,0,1,1,0,182015,80015,102015,1,45000
58,44,73,10,102015,182015,32,2,1,2,22000,100,5,2,33,18000,1,0,1,0,0,1,1,0,182015,22000,102015,1,18000
59,52,73,12,48000,182015,999,2,4,1,48000,100,5,1,33,48000,1,0,1,1,0,1,1,0,182015,48000,48000,0,48000
60,21,73,10,32000,182015,40,2,4,1,32000,100,5,1,33,32000,1,0,1,1,0,1,1,0,182015,32000,32000,0,32000
61,48,73,10,35001,38901,10,2,6,1,35001,100,5,1,33,0,1,0,1,1,0,1,1,0,38901,35001,35001,0,0
62,43,73,10,3900,38901,29,2,6,1,3900,802,5,2,33,3900,1,0,1,0,0,0,1,0,38901,3900,3900,0,3900
63,73,123,36,23729,23729,999,1,1,2,9017,100,0,2,33,0,1,1,1,0,0,1,0,0,23729,9017,23729,1,0
64,77,123,36,23729,23729,999,1,1,2,14712,651,0,1,33,0,1,1,1,1,0,0,0,0,23729,14712,23729,1,0
65,46,111,34,97680,97680,999,1,1,3,52640,100,5,1,33,50000,1,1,1,1,0,1,0,0,97680,52640,97680,1,50000
